toki pona, english
kulupu nimi ala,n negative phrase(?)
kulupu nimi ante ,"condition phrase (before ""la"")"
kulupu nimi ijo,noun phrase
kulupu nimi pali,verb phrase
kulupu nimi pi kama jo,grocery (etc.) list
kulupu nimi pi kama jo,shopping list
kulupu nimi pini,sentence
kulupu nimi seme,"interrogative phrase, question"
kulupu olin,hearts
kulupu open,head phrase
kulupu pi jan ma,nation
kulupu pi lipu sona,web site (collection of pages)
kulupu pi ma ali,"UN, United Nations"
kulupu pi nimi ante,adverbial phrase
kulupu pi pali toki,language creaation society
kulupu pi pona sijelo,group of doctors (health professionals)?
kulupu pi tenpo mun,n month
kulupu pi tenpo suno luka tu,n days of the week
kulupu pi toki pona,n the Toki Pona community
kulupu pini,predicate
